feature,source_feature,transform,window,model_feature
Component A to Reactor__slope_60m_per_h,Component A to Reactor,slope,60m,True
Component B to Reactor,Component B to Reactor,current,current,True
Component B to Reactor__delta_5m,Component B to Reactor,delta,5m,True
Component B to Reactor__rate_5m_per_h,Component B to Reactor,rate,5m,True
Component B to Reactor__mean_15m,Component B to Reactor,mean,15m,True
Component B to Reactor__std_15m,Component B to Reactor,std,15m,True
Component B to Reactor__delta_15m,Component B to Reactor,delta,15m,True
Component B to Reactor__rate_15m_per_h,Component B to Reactor,rate,15m,True
Component B to Reactor__mean_30m,Component B to Reactor,mean,30m,True
Component B to Reactor__std_30m,Component B to Reactor,std,30m,True
Component B to Reactor__max_30m,Component B to Reactor,max,30m,True
Component B to Reactor__min_30m,Component B to Reactor,min,30m,True
Component B to Reactor__delta_60m,Component B to Reactor,delta,60m,True
Component B to Reactor__rate_60m_per_h,Component B to Reactor,rate,60m,True
Component B to Reactor__slope_60m_per_h,Component B to Reactor,slope,60m,True
Component C to Reactor,Component C to Reactor,current,current,True
Component C to Reactor__delta_5m,Component C to Reactor,delta,5m,True
Component C to Reactor__rate_5m_per_h,Component C to Reactor,rate,5m,True
Component C to Reactor__mean_15m,Component C to Reactor,mean,15m,True
Component C to Reactor__std_15m,Component C to Reactor,std,15m,True
Component C to Reactor__delta_15m,Component C to Reactor,delta,15m,True
Component C to Reactor__rate_15m_per_h,Component C to Reactor,rate,15m,True
Component C to Reactor__mean_30m,Component C to Reactor,mean,30m,True
Component C to Reactor__std_30m,Component C to Reactor,std,30m,True
Component C to Reactor__max_30m,Component C to Reactor,max,30m,True
Component C to Reactor__min_30m,Component C to Reactor,min,30m,True
Component C to Reactor__delta_60m,Component C to Reactor,delta,60m,True
Component C to Reactor__rate_60m_per_h,Component C to Reactor,rate,60m,True
Component C to Reactor__slope_60m_per_h,Component C to Reactor,slope,60m,True
Component D to Reactor,Component D to Reactor,current,current,True
Component D to Reactor__delta_5m,Component D to Reactor,delta,5m,True
Component D to Reactor__rate_5m_per_h,Component D to Reactor,rate,5m,True
Component D to Reactor__mean_15m,Component D to Reactor,mean,15m,True
Component D to Reactor__std_15m,Component D to Reactor,std,15m,True
Component D to Reactor__delta_15m,Component D to Reactor,delta,15m,True
Component D to Reactor__rate_15m_per_h,Component D to Reactor,rate,15m,True
Component D to Reactor__mean_30m,Component D to Reactor,mean,30m,True
Component D to Reactor__std_30m,Component D to Reactor,std,30m,True
Component D to Reactor__max_30m,Component D to Reactor,max,30m,True
Component D to Reactor__min_30m,Component D to Reactor,min,30m,True
Component D to Reactor__delta_60m,Component D to Reactor,delta,60m,True
Component D to Reactor__rate_60m_per_h,Component D to Reactor,rate,60m,True
Component D to Reactor__slope_60m_per_h,Component D to Reactor,slope,60m,True
Component E to Reactor,Component E to Reactor,current,current,True
Component E to Reactor__delta_5m,Component E to Reactor,delta,5m,True
Component E to Reactor__rate_5m_per_h,Component E to Reactor,rate,5m,True
Component E to Reactor__mean_15m,Component E to Reactor,mean,15m,True
Component E to Reactor__std_15m,Component E to Reactor,std,15m,True
Component E to Reactor__delta_15m,Component E to Reactor,delta,15m,True
Component E to Reactor__rate_15m_per_h,Component E to Reactor,rate,15m,True
Component E to Reactor__mean_30m,Component E to Reactor,mean,30m,True
Component E to Reactor__std_30m,Component E to Reactor,std,30m,True
Component E to Reactor__max_30m,Component E to Reactor,max,30m,True
Component E to Reactor__min_30m,Component E to Reactor,min,30m,True
Component E to Reactor__delta_60m,Component E to Reactor,delta,60m,True
Component E to Reactor__rate_60m_per_h,Component E to Reactor,rate,60m,True
Component E to Reactor__slope_60m_per_h,Component E to Reactor,slope,60m,True
Component F to Reactor,Component F to Reactor,current,current,True
Component F to Reactor__delta_5m,Component F to Reactor,delta,5m,True
Component F to Reactor__rate_5m_per_h,Component F to Reactor,rate,5m,True
Component F to Reactor__mean_15m,Component F to Reactor,mean,15m,True
Component F to Reactor__std_15m,Component F to Reactor,std,15m,True
Component F to Reactor__delta_15m,Component F to Reactor,delta,15m,True
Component F to Reactor__rate_15m_per_h,Component F to Reactor,rate,15m,True
Component F to Reactor__mean_30m,Component F to Reactor,mean,30m,True
Component F to Reactor__std_30m,Component F to Reactor,std,30m,True
Component F to Reactor__max_30m,Component F to Reactor,max,30m,True
Component F to Reactor__min_30m,Component F to Reactor,min,30m,True
Component F to Reactor__delta_60m,Component F to Reactor,delta,60m,True
Component F to Reactor__rate_60m_per_h,Component F to Reactor,rate,60m,True
Component F to Reactor__slope_60m_per_h,Component F to Reactor,slope,60m,True
Component A to Purge,Component A to Purge,current,current,True
Component A to Purge__delta_5m,Component A to Purge,delta,5m,True
Component A to Purge__rate_5m_per_h,Component A to Purge,rate,5m,True
Component A to Purge__mean_15m,Component A to Purge,mean,15m,True
Component A to Purge__std_15m,Component A to Purge,std,15m,True
Component A to Purge__delta_15m,Component A to Purge,delta,15m,True
Component A to Purge__rate_15m_per_h,Component A to Purge,rate,15m,True
Component A to Purge__mean_30m,Component A to Purge,mean,30m,True
Component A to Purge__std_30m,Component A to Purge,std,30m,True
Component A to Purge__max_30m,Component A to Purge,max,30m,True
Component A to Purge__min_30m,Component A to Purge,min,30m,True
Component A to Purge__delta_60m,Component A to Purge,delta,60m,True
Component A to Purge__rate_60m_per_h,Component A to Purge,rate,60m,True
Component A to Purge__slope_60m_per_h,Component A to Purge,slope,60m,True
Component B to Purge,Component B to Purge,current,current,True
Component B to Purge__delta_5m,Component B to Purge,delta,5m,True
Component B to Purge__rate_5m_per_h,Component B to Purge,rate,5m,True
Component B to Purge__mean_15m,Component B to Purge,mean,15m,True
Component B to Purge__std_15m,Component B to Purge,std,15m,True
Component B to Purge__delta_15m,Component B to Purge,delta,15m,True
Component B to Purge__rate_15m_per_h,Component B to Purge,rate,15m,True
Component B to Purge__mean_30m,Component B to Purge,mean,30m,True
Component B to Purge__std_30m,Component B to Purge,std,30m,True
Component B to Purge__max_30m,Component B to Purge,max,30m,True
Component B to Purge__min_30m,Component B to Purge,min,30m,True
Component B to Purge__delta_60m,Component B to Purge,delta,60m,True
Component B to Purge__rate_60m_per_h,Component B to Purge,rate,60m,True
Component B to Purge__slope_60m_per_h,Component B to Purge,slope,60m,True
Component C to Purge,Component C to Purge,current,current,True
Component C to Purge__delta_5m,Component C to Purge,delta,5m,True
Component C to Purge__rate_5m_per_h,Component C to Purge,rate,5m,True
Component C to Purge__mean_15m,Component C to Purge,mean,15m,True
Component C to Purge__std_15m,Component C to Purge,std,15m,True
Component C to Purge__delta_15m,Component C to Purge,delta,15m,True
Component C to Purge__rate_15m_per_h,Component C to Purge,rate,15m,True
Component C to Purge__mean_30m,Component C to Purge,mean,30m,True
Component C to Purge__std_30m,Component C to Purge,std,30m,True
Component C to Purge__max_30m,Component C to Purge,max,30m,True
Component C to Purge__min_30m,Component C to Purge,min,30m,True
Component C to Purge__delta_60m,Component C to Purge,delta,60m,True
Component C to Purge__rate_60m_per_h,Component C to Purge,rate,60m,True
Component C to Purge__slope_60m_per_h,Component C to Purge,slope,60m,True
Component D to Purge,Component D to Purge,current,current,True
Component D to Purge__delta_5m,Component D to Purge,delta,5m,True
Component D to Purge__rate_5m_per_h,Component D to Purge,rate,5m,True
Component D to Purge__mean_15m,Component D to Purge,mean,15m,True
Component D to Purge__std_15m,Component D to Purge,std,15m,True
Component D to Purge__delta_15m,Component D to Purge,delta,15m,True
Component D to Purge__rate_15m_per_h,Component D to Purge,rate,15m,True
Component D to Purge__mean_30m,Component D to Purge,mean,30m,True
Component D to Purge__std_30m,Component D to Purge,std,30m,True
Component D to Purge__max_30m,Component D to Purge,max,30m,True
Component D to Purge__min_30m,Component D to Purge,min,30m,True
Component D to Purge__delta_60m,Component D to Purge,delta,60m,True
Component D to Purge__rate_60m_per_h,Component D to Purge,rate,60m,True
Component D to Purge__slope_60m_per_h,Component D to Purge,slope,60m,True
Component E to Purge,Component E to Purge,current,current,True
Component E to Purge__delta_5m,Component E to Purge,delta,5m,True
Component E to Purge__rate_5m_per_h,Component E to Purge,rate,5m,True
Component E to Purge__mean_15m,Component E to Purge,mean,15m,True
Component E to Purge__std_15m,Component E to Purge,std,15m,True
Component E to Purge__delta_15m,Component E to Purge,delta,15m,True
Component E to Purge__rate_15m_per_h,Component E to Purge,rate,15m,True
Component E to Purge__mean_30m,Component E to Purge,mean,30m,True
Component E to Purge__std_30m,Component E to Purge,std,30m,True
Component E to Purge__max_30m,Component E to Purge,max,30m,True
Component E to Purge__min_30m,Component E to Purge,min,30m,True
Component E to Purge__delta_60m,Component E to Purge,delta,60m,True
Component E to Purge__rate_60m_per_h,Component E to Purge,rate,60m,True
Component E to Purge__slope_60m_per_h,Component E to Purge,slope,60m,True
Component F to Purge,Component F to Purge,current,current,True
Component F to Purge__delta_5m,Component F to Purge,delta,5m,True
Component F to Purge__rate_5m_per_h,Component F to Purge,rate,5m,True
Component F to Purge__mean_15m,Component F to Purge,mean,15m,True
Component F to Purge__std_15m,Component F to Purge,std,15m,True
Component F to Purge__delta_15m,Component F to Purge,delta,15m,True
Component F to Purge__rate_15m_per_h,Component F to Purge,rate,15m,True
Component F to Purge__mean_30m,Component F to Purge,mean,30m,True
Component F to Purge__std_30m,Component F to Purge,std,30m,True
Component F to Purge__max_30m,Component F to Purge,max,30m,True
Component F to Purge__min_30m,Component F to Purge,min,30m,True
Component F to Purge__delta_60m,Component F to Purge,delta,60m,True
Component F to Purge__rate_60m_per_h,Component F to Purge,rate,60m,True
Component F to Purge__slope_60m_per_h,Component F to Purge,slope,60m,True
Component G to Purge,Component G to Purge,current,current,True
Component G to Purge__delta_5m,Component G to Purge,delta,5m,True
Component G to Purge__rate_5m_per_h,Component G to Purge,rate,5m,True
Component G to Purge__mean_15m,Component G to Purge,mean,15m,True
Component G to Purge__std_15m,Component G to Purge,std,15m,True
Component G to Purge__delta_15m,Component G to Purge,delta,15m,True
Component G to Purge__rate_15m_per_h,Component G to Purge,rate,15m,True
Component G to Purge__mean_30m,Component G to Purge,mean,30m,True
Component G to Purge__std_30m,Component G to Purge,std,30m,True
Component G to Purge__max_30m,Component G to Purge,max,30m,True
Component G to Purge__min_30m,Component G to Purge,min,30m,True
Component G to Purge__delta_60m,Component G to Purge,delta,60m,True
Component G to Purge__rate_60m_per_h,Component G to Purge,rate,60m,True
Component G to Purge__slope_60m_per_h,Component G to Purge,slope,60m,True
Component H to Purge,Component H to Purge,current,current,True
Component H to Purge__delta_5m,Component H to Purge,delta,5m,True
Component H to Purge__rate_5m_per_h,Component H to Purge,rate,5m,True
Component H to Purge__mean_15m,Component H to Purge,mean,15m,True
Component H to Purge__std_15m,Component H to Purge,std,15m,True
Component H to Purge__delta_15m,Component H to Purge,delta,15m,True
Component H to Purge__rate_15m_per_h,Component H to Purge,rate,15m,True
Component H to Purge__mean_30m,Component H to Purge,mean,30m,True
Component H to Purge__std_30m,Component H to Purge,std,30m,True
Component H to Purge__max_30m,Component H to Purge,max,30m,True
Component H to Purge__min_30m,Component H to Purge,min,30m,True
Component H to Purge__delta_60m,Component H to Purge,delta,60m,True
Component H to Purge__rate_60m_per_h,Component H to Purge,rate,60m,True
Component H to Purge__slope_60m_per_h,Component H to Purge,slope,60m,True
Component D to Product,Component D to Product,current,current,True
Component D to Product__delta_5m,Component D to Product,delta,5m,True
Component D to Product__rate_5m_per_h,Component D to Product,rate,5m,True
Component D to Product__mean_15m,Component D to Product,mean,15m,True
Component D to Product__std_15m,Component D to Product,std,15m,True
Component D to Product__delta_15m,Component D to Product,delta,15m,True
Component D to Product__rate_15m_per_h,Component D to Product,rate,15m,True
Component D to Product__mean_30m,Component D to Product,mean,30m,True
Component D to Product__std_30m,Component D to Product,std,30m,True
Component D to Product__max_30m,Component D to Product,max,30m,True
Component D to Product__min_30m,Component D to Product,min,30m,True
Component D to Product__delta_60m,Component D to Product,delta,60m,True
Component D to Product__rate_60m_per_h,Component D to Product,rate,60m,True
Component D to Product__slope_60m_per_h,Component D to Product,slope,60m,True
Component E to Product,Component E to Product,current,current,True
Component E to Product__delta_5m,Component E to Product,delta,5m,True
Component E to Product__rate_5m_per_h,Component E to Product,rate,5m,True
Component E to Product__mean_15m,Component E to Product,mean,15m,True
Component E to Product__std_15m,Component E to Product,std,15m,True
Component E to Product__delta_15m,Component E to Product,delta,15m,True
Component E to Product__rate_15m_per_h,Component E to Product,rate,15m,True
Component E to Product__mean_30m,Component E to Product,mean,30m,True
Component E to Product__std_30m,Component E to Product,std,30m,True
Component E to Product__max_30m,Component E to Product,max,30m,True
Component E to Product__min_30m,Component E to Product,min,30m,True
Component E to Product__delta_60m,Component E to Product,delta,60m,True
Component E to Product__rate_60m_per_h,Component E to Product,rate,60m,True
Component E to Product__slope_60m_per_h,Component E to Product,slope,60m,True
Component F to Product,Component F to Product,current,current,True
Component F to Product__delta_5m,Component F to Product,delta,5m,True
Component F to Product__rate_5m_per_h,Component F to Product,rate,5m,True
Component F to Product__mean_15m,Component F to Product,mean,15m,True
Component F to Product__std_15m,Component F to Product,std,15m,True
Component F to Product__delta_15m,Component F to Product,delta,15m,True
Component F to Product__rate_15m_per_h,Component F to Product,rate,15m,True
Component F to Product__mean_30m,Component F to Product,mean,30m,True
Component F to Product__std_30m,Component F to Product,std,30m,True
Component F to Product__max_30m,Component F to Product,max,30m,True
Component F to Product__min_30m,Component F to Product,min,30m,True
Component F to Product__delta_60m,Component F to Product,delta,60m,True
Component F to Product__rate_60m_per_h,Component F to Product,rate,60m,True
Component F to Product__slope_60m_per_h,Component F to Product,slope,60m,True
Component G to Product,Component G to Product,current,current,True
Component G to Product__delta_5m,Component G to Product,delta,5m,True
Component G to Product__rate_5m_per_h,Component G to Product,rate,5m,True
Component G to Product__mean_15m,Component G to Product,mean,15m,True
Component G to Product__std_15m,Component G to Product,std,15m,True
Component G to Product__delta_15m,Component G to Product,delta,15m,True
Component G to Product__rate_15m_per_h,Component G to Product,rate,15m,True
Component G to Product__mean_30m,Component G to Product,mean,30m,True
Component G to Product__std_30m,Component G to Product,std,30m,True
Component G to Product__max_30m,Component G to Product,max,30m,True
Component G to Product__min_30m,Component G to Product,min,30m,True
Component G to Product__delta_60m,Component G to Product,delta,60m,True
Component G to Product__rate_60m_per_h,Component G to Product,rate,60m,True
Component G to Product__slope_60m_per_h,Component G to Product,slope,60m,True
Component H to Product,Component H to Product,current,current,True
Component H to Product__delta_5m,Component H to Product,delta,5m,True
Component H to Product__rate_5m_per_h,Component H to Product,rate,5m,True
Component H to Product__mean_15m,Component H to Product,mean,15m,True
Component H to Product__std_15m,Component H to Product,std,15m,True
Component H to Product__delta_15m,Component H to Product,delta,15m,True
Component H to Product__rate_15m_per_h,Component H to Product,rate,15m,True
Component H to Product__mean_30m,Component H to Product,mean,30m,True
Component H to Product__std_30m,Component H to Product,std,30m,True
Component H to Product__max_30m,Component H to Product,max,30m,True
Component H to Product__min_30m,Component H to Product,min,30m,True
Component H to Product__delta_60m,Component H to Product,delta,60m,True
Component H to Product__rate_60m_per_h,Component H to Product,rate,60m,True
Component H to Product__slope_60m_per_h,Component H to Product,slope,60m,True
